City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,2021-04-25 16:11:40,-53.15,-70.9167,57.2,47,40,21.85,scattered clouds
1,Georgetown,MY,2021-04-25 16:11:43,5.4112,100.3354,82.4,83,20,4.61,few clouds
2,Lompoc,US,2021-04-25 16:08:20,34.6391,-120.4579,53.6,71,100,3.44,overcast clouds
3,Thompson,CA,2021-04-25 16:11:39,55.7435,-97.8558,28.4,54,75,8.05,broken clouds
4,Lavrentiya,RU,2021-04-25 16:11:46,65.5833,-171.0,20.23,87,100,3.71,overcast clouds
5,Lagoa,PT,2021-04-25 16:12:40,39.05,-27.9833,59.29,79,34,14.27,scattered clouds
6,Mount Isa,AU,2021-04-25 16:14:45,-20.7333,139.5,71.6,43,39,5.75,light rain
7,Kirakira,SB,2021-04-25 16:12:14,-10.4544,161.9205,78.8,84,66,3.38,broken clouds
8,Grimshaw,CA,2021-04-25 16:14:45,56.1834,-117.6027,37.4,41,20,13.8,few clouds
9,Victoria,HK,2021-04-25 16:08:40,22.2855,114.1577,75.0,93,100,1.01,overcast clouds
10,East London,ZA,2021-04-25 16:12:30,-33.0153,27.9116,69.8,78,0,8.05,clear sky
11,Barrow,US,2021-04-25 16:12:06,71.2906,-156.7887,10.4,85,1,10.36,clear sky
12,Albany,US,2021-04-25 16:11:21,42.6001,-73.9662,54.0,71,90,4.61,overcast clouds
13,Touros,BR,2021-04-25 16:12:43,-5.1989,-35.4608,87.8,62,75,12.66,broken clouds
14,Arraial Do Cabo,BR,2021-04-25 16:11:58,-22.9661,-42.0278,82.4,61,0,9.22,clear sky
15,Jinchang,CN,2021-04-25 16:14:46,38.4953,102.1739,48.25,24,11,16.51,few clouds
16,Mataura,NZ,2021-04-25 16:11:43,-46.1927,168.8643,42.01,81,34,8.01,scattered clouds
17,Bandarbeyla,SO,2021-04-25 16:14:47,9.4942,50.8122,83.91,74,43,11.5,scattered clouds
18,Faanui,PF,2021-04-25 16:07:54,-16.4833,-151.75,80.53,66,7,3.51,clear sky
19,Chuy,UY,2021-04-25 16:13:12,-33.6971,-53.4616,67.75,54,9,12.06,clear sky
20,Hambantota,LK,2021-04-25 16:13:54,6.1241,81.1185,80.6,100,75,1.14,broken clouds
21,Taldan,RU,2021-04-25 16:14:48,53.6667,124.8,38.71,58,100,2.84,overcast clouds
22,Klaksvik,FO,2021-04-25 16:12:41,62.2266,-6.589,48.2,81,100,12.66,overcast clouds
23,Longyearbyen,SJ,2021-04-25 16:13:21,78.2186,15.6401,23.0,63,40,16.11,scattered clouds
24,Fortuna,US,2021-04-25 16:13:29,40.5982,-124.1573,46.0,93,75,13.8,broken clouds
25,Konya,TR,2021-04-25 16:14:48,38.1667,32.5,62.6,55,75,12.66,light rain
26,Hermanus,ZA,2021-04-25 16:12:39,-34.4187,19.2345,66.99,77,100,0.47,overcast clouds
27,Saint-Philippe,RE,2021-04-25 16:12:25,-21.3585,55.7679,78.8,73,0,23.02,light rain
28,Butaritari,KI,2021-04-25 16:07:49,3.0707,172.7902,81.73,78,31,10.42,light rain
29,Norman Wells,CA,2021-04-25 16:12:43,65.282,-126.8329,32.0,55,40,20.71,scattered clouds
30,Westport,US,2021-04-25 16:10:43,41.1415,-73.3579,52.0,100,100,9.26,overcast clouds
31,Ushuaia,AR,2021-04-25 16:07:33,-54.8,-68.3,51.8,62,75,10.36,light rain
32,Nanakuli,US,2021-04-25 16:14:49,21.3906,-158.1547,69.8,78,1,5.75,clear sky
33,Luderitz,NA,2021-04-25 16:11:50,-26.6481,15.1594,65.26,78,79,5.5,broken clouds
34,Puerto Ayora,EC,2021-04-25 16:13:32,-0.7393,-90.3518,80.6,74,20,13.8,few clouds
35,New Norfolk,AU,2021-04-25 16:12:00,-42.7826,147.0587,57.0,82,100,1.01,overcast clouds
36,Kita,ML,2021-04-25 16:14:50,13.0349,-9.4895,105.58,14,33,3.78,scattered clouds
37,Rikitea,PF,2021-04-25 16:11:40,-23.1203,-134.9692,77.32,75,80,7.85,light rain
38,Balykshi,KZ,2021-04-25 16:14:51,47.0667,51.8667,60.8,59,40,15.66,scattered clouds
39,Agde,FR,2021-04-25 16:14:51,43.3108,3.4758,62.6,59,0,8.05,clear sky
40,Kawalu,ID,2021-04-25 16:14:51,-7.3817,108.2082,72.3,96,78,0.38,broken clouds
41,Castro,BR,2021-04-25 16:12:27,-24.7911,-50.0119,65.26,73,100,6.13,overcast clouds
42,Bell Ville,AR,2021-04-25 16:12:47,-32.6259,-62.6887,69.01,46,0,5.01,clear sky
43,Machiques,VE,2021-04-25 16:14:52,10.0644,-72.545,91.67,48,40,1.61,scattered clouds
44,Pacific Grove,US,2021-04-25 16:14:04,36.6177,-121.9166,54.0,79,100,3.0,overcast clouds
45,Lorca,ES,2021-04-25 16:14:53,37.6712,-1.7017,70.0,60,0,10.36,clear sky
46,Pisco,PE,2021-04-25 16:13:13,-13.7,-76.2167,69.01,83,20,8.05,haze
47,Natchitoches,US,2021-04-25 16:14:53,31.7668,-93.1335,69.8,56,1,5.75,clear sky
48,Busselton,AU,2021-04-25 16:09:55,-33.65,115.3333,57.0,95,4,1.99,clear sky
49,Atuona,PF,2021-04-25 16:11:38,-9.8,-139.0333,79.83,74,64,19.26,broken clouds
50,Flinders,AU,2021-04-25 16:11:47,-34.5833,150.8552,53.01,83,62,1.01,broken clouds
51,Inirida,CO,2021-04-25 16:14:54,3.8653,-67.9239,83.34,83,100,3.4,overcast clouds
52,Mangai,CD,2021-04-25 16:14:54,-4.05,19.5333,80.65,69,29,3.13,scattered clouds
53,Bluff,NZ,2021-04-25 16:11:41,-46.6,168.3333,42.01,81,78,8.01,broken clouds
54,Khatanga,RU,2021-04-25 16:11:41,71.9667,102.5,9.23,81,100,21.16,overcast clouds
55,Ostrovnoy,RU,2021-04-25 16:12:18,68.0531,39.5131,34.83,97,100,17.49,overcast clouds
