City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
6,Mount Isa,AU,71.6,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
7,Kirakira,SB,78.8,broken clouds,-10.4544,161.9205,SanBiz Lodge
9,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
10,East London,ZA,69.8,clear sky,-33.0153,27.9116,Tu Casa
14,Arraial Do Cabo,BR,82.4,clear sky,-22.9661,-42.0278,Pousada Porto Praia
17,Bandarbeyla,SO,83.91,scattered clouds,9.4942,50.8122,JABIR HOTEL
18,Faanui,PF,80.53,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,Chuy,UY,67.75,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
20,Hambantota,LK,80.6,broken clouds,6.1241,81.1185,Bungalow 63
25,Konya,TR,62.6,light rain,38.1667,32.5,Bahcesaray Koyu Muhtarligi
26,Hermanus,ZA,66.99,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
27,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Butaritari,KI,81.73,light rain,3.0707,172.7902,Isles Sunset Lodge
32,Nanakuli,US,69.8,clear sky,21.3906,-158.1547,Camp Pālehua
34,Puerto Ayora,EC,80.6,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Rikitea,PF,77.32,light rain,-23.1203,-134.9692,Pension Maro'i
38,Balykshi,KZ,60.8,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
39,Agde,FR,62.6,clear sky,43.3108,3.4758,Hôtel La Chaumière
40,Kawalu,ID,72.3,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
41,Castro,BR,65.26,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
42,Bell Ville,AR,69.01,clear sky,-32.6259,-62.6887,Hotel Central
45,Lorca,ES,70.0,clear sky,37.6712,-1.7017,Jardines De Lorca
46,Pisco,PE,69.01,haze,-13.7,-76.2167,Hotel San Isidro Oficial
47,Natchitoches,US,69.8,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
49,Atuona,PF,79.83,broken clouds,-9.8,-139.0333,Villa Enata
51,Inirida,CO,83.34,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
52,Mangai,CD,80.65,scattered clouds,-4.05,19.5333,
56,Vila Velha,BR,84.99,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
58,Tiznit,MA,67.03,few clouds,29.5833,-9.5,
62,Hithadhoo,MV,83.41,scattered clouds,-0.6,73.0833,Scoop Guest House
65,Wuning,CN,60.69,overcast clouds,29.2589,120.2311,Fu Du Hotel
69,Meulaboh,ID,78.85,overcast clouds,4.1363,96.1285,Kost Pria
72,Palora,EC,78.8,light rain,-1.7,-77.9333,Rancho grande
73,Vaini,TO,73.4,light rain,-21.2,-175.2,Keleti Beach Resort
78,Devaprayag,IN,74.8,clear sky,30.15,78.6167,Hotel UMA
88,San Patricio,US,82.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
94,Beyneu,KZ,74.3,broken clouds,45.3167,55.2,NUR
95,Cairns,AU,75.2,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
96,Hilo,US,68.0,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
98,Nishihara,JP,68.0,few clouds,26.1842,127.7558,Minshuku Agaihama
103,Port Shepstone,ZA,71.33,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
105,Kalmunai,LK,80.58,few clouds,7.4167,81.8167,VS Villa
106,Tezu,IN,77.99,few clouds,27.9167,96.1667,Circuit House
107,Labuhan,ID,79.21,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
108,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
110,Coquimbo,CL,62.6,few clouds,-29.9533,-71.3436,Punto de encuentro
116,Ilhabela,BR,77.9,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
117,Kasongo-Lunda,CD,80.67,broken clouds,-6.4667,16.8167,
118,Bredasdorp,ZA,62.6,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
119,Mwense,ZM,73.89,overcast clouds,-10.3845,28.698,Mwense Council Guest House
121,Marawi,PH,79.0,broken clouds,7.9986,124.2928,Derogongan Residence
126,Port Alfred,ZA,71.85,overcast clouds,-33.5906,26.891,The Halyards Hotel
130,Maningrida,AU,76.89,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
131,Ninghai,CN,62.6,clear sky,29.2892,121.4247,Kaiyuan New Century Hotel
134,Sao Borja,BR,72.05,scattered clouds,-28.6606,-56.0044,Hotel Executivo
137,Alofi,NU,69.8,light rain,-19.0595,-169.9187,Taloa Heights
138,Cabo San Lucas,MX,79.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
147,Dawlatabad,AF,77.72,broken clouds,36.4141,64.9053,WASIM ASGAR KHAN
148,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
152,Ribeira Grande,PT,66.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
153,Locri,IT,68.0,broken clouds,38.2414,16.2623,Grand Hotel President
157,Lamu,KE,81.79,broken clouds,-2.2717,40.902,Lamu House
158,Naze,JP,64.87,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
159,Saqqez,IR,65.66,scattered clouds,36.2499,46.2735,Saqqez Hotel
163,Sangmelima,CM,79.95,overcast clouds,2.9333,11.9833,gamestar hotel
164,Lebu,CL,60.13,clear sky,-37.6167,-73.65,Hostal Las Lilas
167,Cape Town,ZA,69.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
169,Vila,PT,61.0,light rain,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
170,Constitucion,CL,64.6,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
171,Saldanha,ZA,64.4,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
175,Oga,IT,66.99,few clouds,46.4631,10.347000000000001,QC Terme Bagni di Bormio Bagni Nuovi
176,Isangel,VU,77.41,light rain,-19.55,169.2667,Tanna Lodge
177,Uvinza,TZ,69.48,moderate rain,-5.1036,30.3911,
180,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
181,Casablanca,MA,69.8,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
182,Calama,CL,66.2,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
184,Bahia Blanca,AR,64.76,scattered clouds,-38.7196,-62.2724,Hotel Argos
186,Brokopondo,SR,82.17,overcast clouds,4.75,-55.1667,Matu Island
189,Praia Da Vitoria,PT,64.99,broken clouds,38.7333,-27.0667,Hotel Branco I
190,Balikpapan,ID,77.22,overcast clouds,-1.2675,116.8289,ibis Balikpapan
191,Carnarvon,AU,64.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
192,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
199,Kahului,US,71.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
200,Lahaina,US,71.6,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
201,San Vicente,AR,68.65,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
204,Dakar,SN,75.2,broken clouds,14.6937,-17.4441,Redface Studios Meublés
206,Port Blair,IN,83.23,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
207,Kavieng,PG,81.75,light rain,-2.5744,150.7967,Nusa Island Retreat
209,Siirt,TR,78.8,broken clouds,37.9326,41.9403,Barden Otel
210,Dir,PK,61.99,clear sky,35.2058,71.8756,Sindh Hotal Dir
212,Bundaberg,AU,63.0,clear sky,-24.85,152.35,Takalvan Motel
213,Rocha,UY,66.99,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
217,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
221,Nouadhibou,MR,73.4,clear sky,20.930999999999997,-17.0347,El Medina
223,Balkanabat,TM,81.99,clear sky,39.5108,54.3671,Nebitchi Hotel
225,Puerto Narino,CO,78.8,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
232,Gamba,GA,82.63,overcast clouds,-2.65,10.0,
233,Peniche,PT,69.01,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
236,Morondava,MG,80.33,clear sky,-20.2833,44.2833,La Case Bambou
239,Bowen,AU,71.6,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
241,Taltal,CL,67.01,clear sky,-25.4,-70.4833,Residencial Karime
246,Hirara,JP,71.44,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
247,Basco,PH,75.94,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
249,Jalu,LY,77.9,clear sky,29.0331,21.5482,صاحبة الفخامة
250,Jijiga,ET,65.39,moderate rain,9.35,42.8,RAMAAS HOTEL
251,Harper,LR,83.53,overcast clouds,4.375,-7.7169,Screensaver
252,Ponta Do Sol,PT,69.8,scattered clouds,32.6667,-17.1,Hotel do Campo
253,Road Town,VG,82.4,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
254,Mar Del Plata,AR,64.4,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
257,Mata,PT,61.0,broken clouds,40.683,-7.4592,Hostel EntryFik
262,Avarua,CK,78.8,moderate rain,-21.2078,-159.775,Paradise Inn
263,Vila Franca Do Campo,PT,64.4,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
264,Agadir,MA,73.4,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
269,Fare,PF,80.67,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
270,Scottsbluff,US,66.99,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
272,Esperance,AU,62.6,clear sky,-33.8667,121.9,Hospitality Esperance
277,Matara,LK,78.73,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
281,Kerrville,US,75.2,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
282,Lazaro Cardenas,MX,84.45,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
283,Illapel,CL,75.87,clear sky,-31.6308,-71.1653,Hotel Londres
285,Albstadt,DE,60.01,clear sky,48.2164,9.026,Gasthof Linde
286,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
287,Yauya,PE,60.67,few clouds,-8.9833,-77.3,
288,Carbonia,IT,68.0,clear sky,39.1672,8.5222,Lu 'Hotel
290,Souillac,MU,77.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
292,Sete,FR,62.6,clear sky,43.4018,3.6966,Hotel De Paris Sète
294,Arrecife,ES,77.0,few clouds,28.963,-13.5477,Hotel Lancelot
295,Trairi,BR,84.69,broken clouds,-3.2778,-39.2689,janelas do mar
300,Ischia,IT,64.99,scattered clouds,40.7342,13.9471,Hotel Ulisse
303,Sibu,MY,77.0,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
304,Port Elizabeth,ZA,68.0,clear sky,-33.918,25.5701,39 On Nile Guest House
306,Honiara,SB,78.3,overcast clouds,-9.4333,159.95,Heritage Park Hotel
308,Cidreira,BR,71.82,broken clouds,-30.1811,-50.2056,Hotel Castelo
310,Mamallapuram,IN,84.2,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
313,Cap-Haitien,HT,79.72,clear sky,19.7578,-72.2042,Habitation Jouissant
316,Antofagasta,CL,69.01,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
317,Lorengau,PG,80.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
321,Karratha,AU,78.44,clear sky,-20.7377,116.8463,ibis Styles Karratha
322,Imbituba,BR,77.0,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
